Source IP,Destination IP,Protocol,Summary
223.6.6.6,10.134.178.204,6,Ether / IP / TCP 223.6.6.6:853 > 10.134.178.204:13753 SA
119.29.29.29,10.134.178.204,17,Ether / IP / UDP / DNS Ans 120.233.171.83
120.77.144.224,10.134.178.204,6,Ether / IP / TCP 120.77.144.224:https > 10.134.178.204:7297 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 SA
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 A
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
10.134.178.204,120.77.144.224,6,Ether / IP / TCP 10.134.178.204:7297 > 120.77.144.224:https A
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Padding
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 A
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Padding
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Padding
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 PA / Raw
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 A
10.134.178.204,120.233.171.83,6,Ether / IP / TCP 10.134.178.204:13752 > 120.233.171.83:11001 PA / Raw
120.233.171.83,10.134.178.204,6,Ether / IP / TCP 120.233.171.83:11001 > 10.134.178.204:13752 A / Padding
10.134.178.204,239.255.255.250,17,Ether / IP / UDP 10.134.178.204:65526 > 239.255.255.250:ssdp / Raw
